asset,date,br
151,2020,6.25E-05
151,2021,9.30E-06
153,2014,0
153,2015,0
153,2016,0
153,2017,0
153,2018,1.32E-05
153,2019,0
153,2020,0
153,2021,0
155,2014,0
155,2015,0
155,2016,0
155,2017,0
155,2018,0
155,2019,0
155,2020,0
155,2021,0
156,2014,0
156,2015,0
156,2016,0
156,2017,1.23E-05
156,2018,0
156,2019,0
156,2020,0
156,2021,0
157,2014,4.04E-05
157,2015,6.05E-05
157,2016,6.66E-05
157,2017,9.28E-05
157,2018,7.58E-05
157,2019,5.74E-05
157,2020,3.91E-05
157,2021,4.55E-05
158,2014,0
158,2015,1.20E-05
158,2016,2.27E-05
158,2017,1.12E-05
158,2018,1.09E-05
158,2019,1.90E-05
158,2020,1.14E-05
158,2021,1.07E-05
159,2014,1.33E-05
159,2015,1.42E-05
159,2016,4.09E-05
159,2017,1.22E-05
159,2018,1.15E-05
159,2019,1.07E-05
159,2020,1.10E-05
159,2021,0
301,2014,0
301,2015,0
301,2016,0
301,2017,0
301,2018,1.06E-05
301,2019,2.27E-05
301,2020,2.20E-05
301,2021,0
333,2014,0
333,2015,0
333,2016,0
333,2017,0
333,2018,9.26E-06
333,2019,0
333,2020,0
333,2021,7.12E-06
338,2014,1.92E-05
338,2015,1.94E-05
338,2016,9.65E-06
338,2017,1.87E-05
338,2018,2.23E-05
338,2019,1.49E-05
338,2020,7.51E-06
338,2021,0
400,2014,5.24E-05
400,2015,1.41E-05
400,2016,2.63E-05
400,2017,4.18E-05
400,2018,1.40E-05
400,2019,1.20E-05
400,2020,0
400,2021,1.04E-05
401,2014,0
401,2015,9.92E-06
401,2016,8.99E-06
401,2017,2.70E-05
401,2018,1.50E-05
401,2019,7.13E-06
401,2020,0
401,2021,0
402,2014,0
402,2015,0
402,2016,0
402,2017,0
402,2018,0
402,2019,0
402,2020,0
402,2021,0
403,2014,0
403,2015,0
403,2016,0
403,2017,0
403,2018,1.17E-05
403,2019,1.19E-05
403,2020,1.14E-05
403,2021,9.06E-06
404,2014,0
404,2015,1.37E-05
404,2016,2.64E-05
404,2017,0
404,2018,0
404,2019,0
404,2020,0
404,2021,0
407,2014,0
407,2015,0
407,2016,0
407,2017,0
407,2018,0
407,2019,0
407,2020,0
407,2021,0
408,2014,0
408,2015,0
408,2016,0
408,2017,0
408,2018,9.94E-06
408,2019,0
408,2020,0
408,2021,0
409,2014,0
409,2015,0
409,2016,0
409,2017,0
409,2018,0
409,2019,0
409,2020,0
409,2021,0
410,2014,0
410,2015,0
410,2016,0
410,2017,0
410,2018,0
410,2019,0
410,2020,0
410,2021,0
411,2014,0
411,2015,0
411,2016,0
411,2017,0
411,2018,0
411,2019,0
411,2020,0
411,2021,0
413,2014,0
413,2015,0
413,2016,0
413,2017,0
413,2018,7.51E-06
413,2019,6.67E-06
413,2020,0
413,2021,0
415,2014,2.70E-05
415,2015,2.45E-05
415,2016,1.37E-05
415,2017,3.94E-05
415,2018,0
415,2019,0
415,2020,0
415,2021,0
417,2014,0
417,2015,1.22E-05
417,2016,0
417,2017,0
417,2018,0
417,2019,0
417,2020,0
417,2021,0
419,2014,0
419,2015,0
419,2016,0
419,2017,0
419,2018,0
419,2019,0
419,2020,0
419,2021,0
420,2014,0
420,2015,0
420,2016,0
420,2017,0
420,2018,0
420,2019,0
420,2020,0
420,2021,0
421,2014,0
421,2015,0
421,2016,0
421,2017,0
421,2018,0
421,2019,0
421,2020,0
421,2021,0
422,2014,0
422,2015,0
422,2016,0
422,2017,0
422,2018,0
422,2019,0
422,2020,0
422,2021,0
423,2014,0
423,2015,0
423,2016,0
423,2017,1.20E-05
423,2018,8.85E-06
423,2019,0
423,2020,0
423,2021,0
425,2014,0
425,2015,3.11E-05
425,2016,4.28E-05
425,2017,3.10E-05
425,2018,5.69E-05
425,2019,2.48E-05
425,2020,2.46E-05
425,2021,1.53E-05
426,2014,0
426,2015,1.29E-05
426,2016,1.66E-05
426,2017,1.29E-05
426,2018,0
426,2019,0
426,2020,0
426,2021,0
428,2014,0
428,2015,0
428,2016,0
428,2017,0
428,2018,0
428,2019,1.95E-05
428,2020,0
428,2021,0
429,2014,0
429,2015,0
429,2016,0
429,2017,0
429,2018,0
429,2019,0
429,2020,0
429,2021,0
430,2014,0
430,2015,0
430,2016,0
430,2017,0
430,2018,0
430,2019,0
430,2020,0
430,2021,0
488,2014,0
488,2015,2.10E-05
488,2016,0
488,2017,9.84E-06
488,2018,8.98E-06
488,2019,8.13E-06
488,2020,0
488,2021,0
498,2014,1.54E-05
498,2015,3.34E-05
498,2016,3.49E-05
498,2017,0.000114165
498,2018,2.53E-05
498,2019,3.56E-05
498,2020,1.63E-05
498,2021,5.23E-06
501,2014,0
501,2015,0
501,2016,0
501,2017,0
501,2018,0
501,2019,0
501,2020,0
501,2021,0
503,2014,0
503,2015,0
503,2016,0
503,2017,0
503,2018,0
503,2019,0
503,2020,0
503,2021,0
504,2014,0
504,2015,0
504,2016,0
504,2017,0
504,2018,0
504,2019,0
504,2020,0
504,2021,0
505,2014,0
505,2015,0
505,2016,0
505,2017,0
505,2018,0
505,2019,0
505,2020,0
505,2021,0
506,2014,0
506,2015,0
506,2016,0
506,2017,0
506,2018,3.84E-05
506,2019,2.08E-05
506,2020,2.23E-05
506,2021,2.15E-05
507,2014,3.70E-05
507,2015,7.09E-05
507,2016,8.10E-05
507,2017,8.14E-05
507,2018,7.80E-05
507,2019,6.96E-05
507,2020,8.02E-05
507,2021,4.98E-05
509,2014,0
509,2015,0
509,2016,0
509,2017,0
509,2018,0
509,2019,0
509,2020,0
509,2021,0
510,2014,0
510,2015,0
510,2016,0
510,2017,0
510,2018,0
510,2019,0
510,2020,0
510,2021,0
513,2014,0
513,2015,0
513,2016,0
513,2017,0
513,2018,0
513,2019,0
513,2020,0
513,2021,0
514,2014,0
514,2015,0
514,2016,2.40E-05
514,2017,0
514,2018,0
